team1,team2,winner,match_date,ground
Zimbabwe,Sri Lanka,Sri Lanka,1999-12-18,Zimbabwe
Sri Lanka,Zimbabwe,Zimbabwe,1999-12-19,Zimbabwe
West Indies,New Zealand,New Zealand,2000-01-02,New Zealand
West Indies,New Zealand,New Zealand,2000-01-04,New Zealand
West Indies,New Zealand,New Zealand,2000-01-06,New Zealand
West Indies,New Zealand,New Zealand,2000-08-09,New Zealand
Pakistan,Australia,Pakistan,2000-01-09,Australia
India,Pakistan,Pakistan,2000-01-10,Australia
New Zealand,West Indies,New Zealand,2000-01-11,New Zealand
Australia,India,Australia,2000-01-12,Australia
India,Australia,Australia,2000-01-14,Australia
Pakistan,Australia,Australia,2000-01-16,Australia
Australia,Pakistan,Australia,2000-01-19,Australia
Pakistan,India,Pakistan,2000-01-21,Australia
Zimbabwe,South Africa,South Africa,2000-01-21,South Africa
Australia,Pakistan,Australia,2000-01-23,Australia
South Africa,England,England,2000-01-23,South Africa
India,Pakistan,India,2000-01-25,Australia
Australia,India,Australia,2000-01-26,Australia
South Africa,England,South Africa,2000-01-26,South Africa
Pakistan,India,Pakistan,2000-01-28,Australia
Zimbabwe,England,Zimbabwe,2000-01-28,South Africa
India,Australia,Australia,2000-01-30,Australia
Zimbabwe,England,England,2000-01-30,South Africa
Pakistan,Australia,Australia,2000-02-02,Australia
South Africa,Zimbabwe,Zimbabwe,2000-02-02,South Africa
Australia,Pakistan,Australia,2000-02-04,Australia
